,company,chi,p,sub_ids
396,TATA MOTORS LTD_FI,1.7491427597361981,0.9877603824957875,0001193125-21-202050
154,CUREVAC N.V.,1.9225853178621102,0.9832938681646032,0001104659-21-055619
251,CHINESEWORLDNET COM INC,2.0091036414565826,0.9807314849334211,0001104659-21-058693
8,TEEKAY CORP,2.154586123067113,0.9759021007989654,0001628280-21-006373
167,EUROSEAS LTD.,2.157333871801957,0.9758044969072519,0000919574-21-003130
118,SINOVAC BIOTECH LTD,2.308551455219075,0.9700615883686978,0001564590-21-020156
197,LEXINFINTECH HOLDINGS LTD.,2.4309539865034826,0.9648729043311339,0001564590-21-021320
338,ICTS INTERNATIONAL N V,2.5574103341612044,0.9590000054747124,0001178913-21-001756
265,WOORI FINANCIAL GROUP INC.,2.73926218013599,0.9496401178546712,0001193125-21-142293
61,LEJU HOLDINGS LTD,3.0210286805723987,0.933030953746887,0001104659-21-050441
124,"COPA HOLDINGS, S.A.",3.2908749609881953,0.9148003600118403,0001193125-21-128866
272,PINTEC TECHNOLOGY HOLDINGS LTD,3.323038208810634,0.9124814942186847,0001193125-21-145037
343,MEDIGUS LTD.,3.367771895376251,0.9092061262364546,0001213900-21-026459
180,GAS TRANSPORTER OF THE SOUTH INC,3.4118799678683223,0.9059200039684281,0001140361-21-014628
43,17 EDUCATION & TECHNOLOGY GROUP INC.,3.4881921812298686,0.9001041198722914,0001564590-21-018346
321,TOMBSTONE EXPLORATION CORP,3.536344030365769,0.8963507579240729,0001078782-21-000418
85,RISE EDUCATION CAYMAN LTD,3.6160047009728764,0.8900024404515102,0001193125-21-121322
323,TAL EDUCATION GROUP,3.7235408079858394,0.8811656604198641,0001104659-21-063077
185,"VISTA OIL & GAS, S.A.B. DE C.V.",3.8129636268516967,0.8735918651872518,0001193125-21-135312
48,AURORA MOBILE LTD,3.869413025738065,0.8687090051947787,0001193125-21-112508
383,INFOSYS LTD,3.876839471011329,0.8680608844694624,0001564590-21-032573
27,STONECO LTD.,3.9051018180106056,0.8655823468703877,0001628280-21-006647
121,HUAZHU GROUP LTD,3.9808007444032127,0.8588515144974023,0001104659-21-054100
142,ITURAN LOCATION & CONTROL LTD.,4.179927606142283,0.8405357100732793,0001178913-21-001432
162,CAPITAL PRODUCT PARTNERS L.P.,4.188685906908798,0.8397107967289039,0001193125-21-133880
47,SOUTHEAST AIRPORT GROUP,4.27404302422073,0.8315906409835238,0001104659-21-049375
46,BAOZUN INC.,4.4522234914592795,0.814193750568613,0001104659-21-049360
362,FORMULA SYSTEMS (1985) LTD,4.553264742283972,0.8040807835102208,0001213900-21-027074
326,JOWELL GLOBAL LTD.,4.726880970336853,0.7863286654248479,0001213900-21-025290
150,"VIOMI TECHNOLOGY CO., LTD",4.755980115845499,0.783310473542517,0001564590-21-020524
224,MACRO BANK INC.,4.767487937675035,0.7821136789602899,0001193125-21-140667
13,INTERNATIONAL GENERAL INSURANCE HOLDINGS LTD.,4.785207005789268,0.780267447888048,0001213900-21-019770
244,LINX S.A.,4.815769198380902,0.777073301728691,0000950103-21-006528
250,AESTHETIC MEDICAL INTERNATIONAL HOLDINGS GROUP LTD,4.839335511499885,0.7746020865203755,0001104659-21-058304
213,NORDIC AMERICAN TANKERS LTD,4.897645125273209,0.7684578819480267,0001140361-21-014948
276,ITAU UNIBANCO HOLDING S.A.,4.913957610430584,0.7667316585283823,0001193125-21-145469
246,"CONTROLADORA VUELA COMPANIA DE AVIACION, S.A.B. DE C.V.",4.961161217087377,0.7617191046383216,0001104659-21-058061
34,NIU TECHNOLOGIES,5.03674258863334,0.7536419123220939,0001104659-21-048371
169,UP FINTECH HOLDING LTD,5.0689789323018,0.7501787749517708,0001104659-21-055895
25,EDAP TMS SA,5.11917796111624,0.7447656135450342,0001104659-21-047574
325,CLOOPEN GROUP HOLDING LTD,5.156834791845584,0.7406894668458213,0001104659-21-063826
178,"21VIANET GROUP, INC.",5.182999127803527,0.7378498831633264,0001104659-21-056551
204,ANTELOPE ENTERPRISE HOLDINGS LTD,5.205286722426682,0.7354264061570934,0001104659-21-056773
42,POET TECHNOLOGIES INC.,5.336062873296916,0.7211272124078598,0001493152-21-008410
136,UCLOUDLINK GROUP INC.,5.368718959994199,0.7175373524068107,0001564590-21-020207
5,YANDEX N.V.,5.517277693675061,0.7011250279379746,0001513845-21-000014
365,LINGO MEDIA CORP,5.691657326806321,0.6817259509425837,0001437749-21-012373
71,SEA LTD,5.7127889169821575,0.6793678042995964,0001140361-21-013089
33,ECOPETROL S.A.,5.781431347230033,0.6716996090010927,0001104659-21-048256
165,PAGSEGURO DIGITAL LTD.,5.913053198846464,0.6569707180049528,0001628280-21-007622
252,"ANPAC BIO-MEDICAL SCIENCE CO., LTD.",5.93612979463917,0.654386279384563,0001104659-21-058992
357,QUHUO LTD,5.999097131492521,0.6473330289273318,0001193125-21-163635
207,TUNIU CORP,5.9997357112632255,0.6472614946453678,0001104659-21-056868
107,WEIBO CORP,6.04680596428398,0.641988801275106,0001104659-21-053395
231,DUNXIN FINANCIAL HOLDINGS LTD,6.403630890005981,0.6021156003235253,0001477932-21-002737
170,"NETEASE, INC.",6.4244453138496755,0.5997998244418292,0001104659-21-055902
329,MAGIC SOFTWARE ENTERPRISES LTD,6.466186047695832,0.5951606930770834,0001213900-21-025998
287,ENERGY CO OF MINAS GERAIS,6.466859710747416,0.5950858767561122,0001292814-21-001942
190,FINVOLUTION GROUP,6.546293003112397,0.5862774996189912,0001193125-21-135550
89,RADWARE LTD,6.589580785436292,0.5814893319701793,0001178913-21-001391
306,ECMOHO LTD,6.763869407790819,0.5623105829992554,0001564590-21-022518
110,SIBANYE STILLWATER LTD,6.838389745083728,0.5541655277492237,0001104659-21-053622
208,"FOREIGN TRADE BANK OF LATIN AMERICA, INC.",6.8832782162290975,0.5492769676114977,0001104659-21-057456
298,COSAN S.A.,7.138062726521957,0.5218127586104634,0001554855-21-000173
58,MEXICAN ECONOMIC DEVELOPMENT INC,7.142960729898269,0.5212898889844066,0001558370-21-004287
160,GUANGSHEN RAILWAY CO LTD,7.160778791800261,0.5193895156150825,0001193125-21-132907
315,NXT ENERGY SOLUTIONS INC.,7.190327467019197,0.5162440817678942,0001654954-21-004988
184,SHINHAN FINANCIAL GROUP CO LTD,7.245531775645672,0.5103883201879182,0001193125-21-135311
310,CANAGOLD RESOURCES LTD.,7.346921261824418,0.49970633081045834,0001654954-21-004828
349,CHINACACHE INTERNATIONAL HOLDINGS LTD.,7.379251721758799,0.49632065356431887,0001104659-21-067320
340,CHEETAH MOBILE INC.,7.510000399934716,0.4827343630636327,0001193125-21-162007
402,ORIX CORP,7.5400210060528305,0.479639555992621,0001193125-21-202586
333,TUANCHE LTD,7.637056934703816,0.46970156658846385,0001104659-21-066394
76,XPENG INC.,7.649251595617341,0.46845983879079345,0001193125-21-118515
354,MER TELEMANAGEMENT SOLUTIONS LTD,7.659822435628887,0.4673847771258641,0001178913-21-001767
304,GREENTREE HOSPITALITY GROUP LTD.,7.692727659573039,0.46404619173264194,0001564590-21-022495
264,PUXIN LTD,7.815567125912589,0.45169050181564396,0001193125-21-142199
317,VERSUS SYSTEMS INC.,7.8416490781270145,0.4490893755400893,0001213900-21-024608
242,"SPI ENERGY CO., LTD.",7.848876726389003,0.4483699745109643,0001683168-21-001594
144,YUNJI INC.,7.87545609029038,0.4457296831134806,0001193125-21-130439
274,"DOUBLEDOWN INTERACTIVE CO., LTD.",7.913572775083741,0.44195789539430763,0001193125-21-145175
309,AZUL SA,7.975692710861475,0.43584813907915043,0001628280-21-008429
113,KINGSOFT CLOUD HOLDINGS LTD,8.213969025075848,0.4128531638517293,0001193125-21-125812
173,"JINKOSOLAR HOLDING CO., LTD.",8.257465362667961,0.4087329326825374,0001104659-21-056532
229,HITEK GLOBAL INC.,8.288358292034763,0.405821393518654,0001213900-21-023609
335,"RYB EDUCATION, INC.",8.307635143279423,0.40401089829932196,0001104659-21-066849
22,"MAXEON SOLAR TECHNOLOGIES, LTD.",8.314722351376176,0.4033464789615361,0001796898-21-000016
57,BIT MINING LTD,8.358723807674279,0.399236073109067,0001104659-21-050188
24,CHINA ONLINE EDUCATION GROUP,8.366087254201767,0.39855069494007317,0001104659-21-047321
247,SO-YOUNG INTERNATIONAL INC.,8.560640332774996,0.3807028566898377,0001104659-21-058062
60,AFFIMED N.V.,8.56803406035657,0.3800345877515049,0001047469-21-000956
94,"360 DIGITECH, INC.",8.600568994938989,0.3771027775016059,0001104659-21-052802
38,EMBRAER S.A.,8.625223114598425,0.37489070642311095,0001193125-21-110513
149,EDENOR,8.634554262176378,0.37405563646141826,0001292814-21-001740
9,ENI SPA,8.63894436233504,0.3736631652119196,0001104659-21-046015
108,DAQO NEW ENERGY CORP.,8.702395296277055,0.3680201460751383,0001104659-21-053396
336,X FINANCIAL,8.730425943201189,0.36554483264493054,0001104659-21-066950
68,MDJM LTD,8.796140053187267,0.35978428102231186,0001104659-21-051267
356,MEXICAN PETROLEUM,8.859967843991639,0.35424638227505106,0001193125-21-162651
112,YPF SOCIEDAD ANONIMA,8.868030611355481,0.3535508632172648,0001193125-21-125294
164,HUYA INC.,9.01482034029948,0.3410472720873444,0001193125-21-134324
